port,hits
2525.0,393
35848.0,5
442.0,10
6619.0,18
35858.0,6
42586.0,6
35582.0,12
25280.0,3
51755.0,2
30563.0,8
30005.0,294
30531.0,10
7878.0,52
2049.0,285
1022.0,51
55273.0,2
8999.0,174
18080.0,235
30538.0,16
5223.0,122
25083.0,3
52988.0,8
52990.0,19
59273.0,2
2181.0,331
8882.0,27
5280.0,45
4333.0,67
30664.0,15
30502.0,10
12489.0,11
5667.0,25
3909.0,60
2220.0,34
1311.0,151
30839.0,6
13334.0,2
7880.0,40
12000.0,97
21268.0,8
5038.0,116
46794.0,4
5349.0,39
902.0,39
55174.0,7
55188.0,6
12385.0,10
8810.0,36
39124.0,5
42158.0,1
10013.0,32
30948.0,9
8202.0,21
5269.0,249
10012.0,60
3500.0,95
48226.0,5
10022.0,142
8015.0,343
16464.0,19
30522.0,8
9073.0,34
48926.0,11
48914.0,3
30582.0,8
28672.0,4
43618.0,5
3011.0,52
36402.0,11
30753.0,8
41973.0,6
30884.0,10
30662.0,14
30746.0,16
49160.0,17
49162.0,6
56856.0,4
30815.0,16
30861.0,8
50000.0,342
8813.0,20
60803.0,1
18087.0,11
54032.0,7
30862.0,20
30947.0,18
57800.0,6
39186.0,7
30976.0,9
30882.0,8
11499.0,19
3001.0,382
2378.0,171
60242.0,6
49773.0,3
7547.0,703
1827.0,6
6955.0,16
46932.0,5
46942.0,4
46930.0,6
46954.0,4
4437.0,24
39690.0,8
39704.0,18
39718.0,8
49134.0,13
82.0,280
43800.0,8
61234.0,33
30583.0,8
25375.0,3
46980.0,5
47030.0,6
39778.0,8
12350.0,20
39782.0,4
3349.0,14
47012.0,11
36379.0,4
55602.0,6
39243.0,2
44720.0,4
7443.0,629
30902.0,9
30572.0,10
5938.0,227
42800.0,6
48610.0,5
9443.0,975
30900.0,9
2085.0,53
30808.0,15
6638.0,18
8820.0,40
8819.0,56
36680.0,6
21054.0,4
30547.0,8
36690.0,6
2121.0,166
39625.0,2
40753.0,2
18031.0,8
15352.0,2
3127.0,20
57524.0,6
44020.0,2
8744.0,8
8006.0,213
39099.0,4
51878.0,3
8817.0,20
9101.0,57
42186.0,8
42198.0,6
44494.0,6
56326.0,7
60648.0,4
13335.0,2
8826.0,34
32764.0,20
56332.0,17
8824.0,23
30842.0,18
40462.0,7
1521.0,364
39315.0,3
30764.0,18
44870.0,4
44892.0,8
87.0,48
44930.0,5
32923.0,4
58026.0,5
32972.0,8
8823.0,45
33018.0,4
6511.0,15
45716.0,14
46820.0,4
46808.0,6
48760.0,7
48774.0,13
46828.0,5
46840.0,10
26579.0,4
53773.0,4
30631.0,8
57448.0,6
57422.0,5
49572.0,4
49568.0,16
49552.0,8
59572.0,10
33522.0,4
33550.0,3
34330.0,6
60120.0,3
8827.0,28
37600.0,10
873.0,112
37656.0,9
37664.0,12
34566.0,12
8871.0,25
58678.0,9
33682.0,15
52904.0,8
60023.0,209
54374.0,10
39506.0,5
52920.0,7
33690.0,5
52930.0,11
33702.0,6
2152.0,11
52954.0,14
58518.0,3
111.0,137
46778.0,6
42668.0,10
42662.0,6
42682.0,9
51632.0,6
42690.0,4
58352.0,15
9003.0,46
2000.0,577
42384.0,2
8844.0,36
59556.0,2
59588.0,7
59592.0,6
30963.0,11
34774.0,8
24082.0,9
52898.0,9
33452.0,4
30987.0,8
30590.0,8
5083.0,24
39846.0,10
33488.0,7
39864.0,12
45722.0,3
44118.0,5
44120.0,3
45738.0,7
45734.0,6
44126.0,9
40173.0,6
13326.0,4
45758.0,5
30767.0,10
40156.0,9
57504.0,3
10247.0,20
6975.0,11
47086.0,5
47100.0,12
60973.0,3
36218.0,13
39196.0,5
39237.0,3
47512.0,18
47520.0,1
13921.0,1
39071.0,2
39500.0,9
62688.0,1
40354.0,9
56646.0,9
14335.0,4
40822.0,6
46104.0,10
46106.0,10
33850.0,4
6718.0,21
5902.0,66556
30565.0,9
4192.0,20
2001.0,137
55061.0,1
37311.0,2
41914.0,3
41916.0,5
41922.0,7
57183.0,1
8837.0,26
8090.0,765
30718.0,10
13327.0,2
56555.0,2
3392.0,111
46328.0,6
47542.0,7
35816.0,9
8592.0,20
215.0,4
37842.0,8
37852.0,6
37868.0,6
39145.0,2
10554.0,97
49416.0,6
49422.0,6
30946.0,10
40371.0,3
33952.0,4
20131.0,5
30682.0,8
36928.0,7
36408.0,5
36158.0,3
39796.0,5
46830.0,14
46838.0,10
46826.0,4
30585.0,10
27019.0,239
60077.0,7
52086.0,13
37082.0,10
41662.0,5
41676.0,14
5051.0,61
30789.0,6
30700.0,24
30645.0,13
30530.0,8
3751.0,22
46928.0,7
8729.0,132
39093.0,3
37366.0,7
44817.0,79
13328.0,2
39046.0,12
39056.0,10
30794.0,21
39064.0,8
14990.0,5
888.0,93
21317.0,8
32400.0,147
36400.0,5
9400.0,32
52366.0,8
30379.0,21
48294.0,11
39664.0,5
12833.0,2
52748.0,9
43738.0,5
43740.0,5
9599.0,60
9623.0,15
30805.0,9
40159.0,2
3128.0,1295
8888.0,1677
38333.0,6
39494.0,8
30806.0,12
57776.0,6
57786.0,8
6212.0,18
17947.0,5
36925.0,1
1234.0,176
30713.0,9
58734.0,7
47544.0,12
30858.0,19
30597.0,9
1028.0,174
30901.0,6
10348.0,29
48242.0,4
25565.0,682
37050.0,5
30993.0,8
47804.0,10
47820.0,4
2638.0,33
34176.0,12
