port,hits
43344.0,5.0
43466.0,2.0
43564.0,1.0
43720.0,2.0
43728.0,2.0
43740.0,2.0
43776.0,4.0
43808.0,5.0
43816.0,5.0
44157.0,10.0
44230.0,9.0
44270.0,2.0
44444.0,10.0
44618.0,2.0
44818.0,25.0
45145.0,10.0
45250.0,5.0
45252.0,5.0
45277.0,8.0
45708.0,5.0
45763.0,10.0
45820.0,4.0
45860.0,5.0
46022.0,5.0
46029.0,9.0
46085.0,10.0
46212.0,3.0
46228.0,3.0
46289.0,10.0
46488.0,4.0
46498.0,3.0
46506.0,3.0
46624.0,5.0
46743.0,3.0
46852.0,5.0
47329.0,10.0
47341.0,8.0
47418.0,10.0
47502.0,5.0
47516.0,5.0
47522.0,1.0
47528.0,4.0
47700.0,6.0
47840.0,5.0
48001.0,51.0
48013.0,9.0
48026.0,41.0
48028.0,35.0
48029.0,32.0
48034.0,41.0
48035.0,40.0
48038.0,30.0
48040.0,9.0
48050.0,4.0
48052.0,33.0
48059.0,46.0
48065.0,8.0
48088.0,40.0
48096.0,31.0
48097.0,40.0
48106.0,31.0
48109.0,13.0
48111.0,21.0
48114.0,40.0
48115.0,80.0
48117.0,35.0
48120.0,6.0
48122.0,51.0
48132.0,40.0
48137.0,35.0
48138.0,40.0
48144.0,41.0
48145.0,22.0
48155.0,40.0
48158.0,27.0
48168.0,45.0
48170.0,40.0
48179.0,41.0
48182.0,9.0
48183.0,42.0
48188.0,6.0
48189.0,69.0
48190.0,6.0
48191.0,41.0
48198.0,46.0
48203.0,41.0
48206.0,40.0
48211.0,40.0
48220.0,23.0
48224.0,28.0
48226.0,30.0
48235.0,9.0
48238.0,29.0
48241.0,37.0
48244.0,51.0
48246.0,50.0
48248.0,20.0
48250.0,45.0
48251.0,6.0
48257.0,30.0
48259.0,35.0
48260.0,40.0
48261.0,36.0
48262.0,37.0
48263.0,8.0
48268.0,28.0
48269.0,35.0
48273.0,4.0
48277.0,30.0
48278.0,40.0
48279.0,40.0
48281.0,40.0
48283.0,4.0
48287.0,4.0
48288.0,30.0
48290.0,36.0
48292.0,24.0
48300.0,72.0
48308.0,45.0
48309.0,23.0
48316.0,45.0
48317.0,35.0
48318.0,82.0
48325.0,16.0
48330.0,40.0
48332.0,40.0
48337.0,100.0
48340.0,8.0
48341.0,35.0
48342.0,53.0
48350.0,19.0
48352.0,37.0
48356.0,40.0
48363.0,31.0
48366.0,7.0
48368.0,31.0
48369.0,37.0
48370.0,69.0
48372.0,40.0
48374.0,40.0
48376.0,51.0
48381.0,25.0
48389.0,40.0
48391.0,46.0
48396.0,28.0
48400.0,25.0
48411.0,41.0
48412.0,45.0
48416.0,35.0
48419.0,27.0
48426.0,40.0
48429.0,40.0
48438.0,6.0
48439.0,40.0
48441.0,69.0
48449.0,45.0
48452.0,9.0
48460.0,50.0
48462.0,12.0
48466.0,8.0
48469.0,40.0
48470.0,8.0
48473.0,11.0
48484.0,40.0
48488.0,25.0
48489.0,24.0
48496.0,41.0
48498.0,40.0
48592.0,5.0
48778.0,5.0
48889.0,10.0
49039.0,10.0
49045.0,8.0
49070.0,5.0
49076.0,5.0
49102.0,5.0
49294.0,6.0
49296.0,6.0
49308.0,5.0
49501.0,31.0
49666.0,4.0
49738.0,10.0
50001.0,10.0
50242.0,10.0
50694.0,5.0
50712.0,1.0
50802.0,10.0
50901.0,8.0
50920.0,5.0
50930.0,5.0
50936.0,5.0
50960.0,5.0
50974.0,6.0
50980.0,5.0
50995.0,16.0
51138.0,4.0
51200.0,26.0
51217.0,7.0
51322.0,5.0
51332.0,5.0
51334.0,5.0
51478.0,5.0
51480.0,4.0
51529.0,10.0
51532.0,1.0
51542.0,10.0
51833.0,1.0
51847.0,7.0
52065.0,3.0
52172.0,5.0
52412.0,5.0
52424.0,6.0
52426.0,5.0
52529.0,10.0
52951.0,23.0
52966.0,10.0
53246.0,5.0
53252.0,5.0
53258.0,5.0
53292.0,5.0
53298.0,5.0
53386.0,4.0
53452.0,10.0
53472.0,4.0
53495.0,10.0
53525.0,4.0
53529.0,10.0
53569.0,10.0
53586.0,5.0
53631.0,31.0
53806.0,5.0
54234.0,5.0
54240.0,5.0
54244.0,5.0
54250.0,5.0
54260.0,5.0
54308.0,2.0
54514.0,2.0
54528.0,2.0
54544.0,2.0
54884.0,10.0
54928.0,6.0
55000.0,11.0
55615.0,27.0
55702.0,10.0
55738.0,4.0
56270.0,8.0
56417.0,7.0
56724.0,1.0
56896.0,5.0
56904.0,5.0
57009.0,41.0
57178.0,10.0
57313.0,8.0
57352.0,1.0
57410.0,5.0
57414.0,5.0
57428.0,5.0
57718.0,5.0
57774.0,10.0
57784.0,5.0
57897.0,18.0
58556.0,5.0
58591.0,2.0
58694.0,10.0
58800.0,7.0
59182.0,5.0
59237.0,10.0
59289.0,10.0
59428.0,5.0
59636.0,10.0
59828.0,5.0
59830.0,5.0
59836.0,6.0
60000.0,3.0
60001.0,28.0
60292.0,5.0
60321.0,10.0
60464.0,5.0
61005.0,10.0
61425.0,4.0
61616.0,8.0
61938.0,40.0
61946.0,10.0
62400.0,10.0
63145.0,10.0
64111.0,10.0
64227.0,10.0
64269.0,20.0
